[Tick #86] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #87] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #88] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #89] Attacker: [0]; Defender #0: [0]; Defender #1: [0]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #90] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #91] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #92] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #93] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #94] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #95] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #96] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #97] Attacker: [0]; Defender #0: [0]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #98] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #99] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [3]; Defender #3: [-1]; 
[Tick #100] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #101] Attacker: [0]; Defender #0: [3]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #102] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #103] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #104] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #105] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #106] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #107] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #108] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #109] Attacker: [0]; Defender #0: [3]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #110] Attacker: [0]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #111] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #112] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #113] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #114] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #115] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #116] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #117] Attacker: [2]; Defender #0: [2]; Defender #1: [0]; Defender #2: [3]; Defender #3: [1]; 
[Tick #118] Attacker: [2]; Defender #0: [2]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #119] Attacker: [2]; Defender #0: [2]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #120] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #121] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [3]; Defender #3: [1]; 
[Tick #122] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #123] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #124] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #125] Attacker: [3]; Defender #0: [2]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #126] Attacker: [1]; Defender #0: [3]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #127] Attacker: [3]; Defender #0: [3]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #128] Attacker: [3]; Defender #0: [3]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
[Tick #129] Attacker: [3]; Defender #0: [3]; Defender #1: [1]; Defender #2: [0]; Defender #3: [1]; 
